,sumpri,change,id,negotiator,pridev,posdev,closer,bin2,bin23,bin34,bin4,format2,format3,priorconfi,highprior,antinumeracy,vulnerable,emerging,exporter,developed,emiter,postconfi,paris,age,male,children,education
1,100,0,1,1,0.05,0.05,0,1,0,0,0,0,0,6,1,0,1,0,0,0,0,6,1,40,1,3,d
2,290,0.009404389,2,1,0.45,0.45,0,1,0,0,0,0,0,5,1,1,1,0,0,0,0,4,1,33,1,2,e
3,100,0,3,1,0.05,0.05,0,1,0,0,0,0,0,6,1,0,1,0,0,0,0,6,1,45,1,0,g
4,195,0.051282051,4,1,0.05,0.05,0,1,0,0,0,0,0,4,1,1,0,0,0,1,0,6,1,NA,0,NA,g
5,72.5,0.210526316,5,1,0.05,0.15,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,5,1,28,1,0,e
6,145,0.009785648,6,1,0.025,0,1,1,0,0,0,0,0,6,1,1,0,1,1,0,1,6,1,35,1,2,g
7,135,0.007122507,7,1,0.2,0.2,0,1,0,0,0,0,0,5,0,0,NA,NA,NA,NA,NA,4,1,35,1,0,e
8,162.5,0.075524476,8,0,0.025,0.05,0,1,0,0,0,0,0,5,1,1,NA,NA,NA,NA,NA,4,1,47,1,1,g
9,120,0.166666667,9,0,0.3,0.05,1,1,0,0,0,0,0,4,0,0,NA,NA,NA,NA,NA,4,1,58,1,3,g
10,105,0.002164503,10,0,0,0,0,1,0,0,0,0,0,3,1,0,NA,NA,NA,NA,NA,5,1,30,1,2,e
11,150,0.001149426,11,0,0,0,0,1,0,0,0,0,0,6,1,1,NA,NA,NA,NA,NA,6,1,45,1,1,e
12,97.5,0,12,1,0.05,0.05,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,4,1,30,0,NA,e
13,180,0.017676767,13,0,0,0,0,1,0,0,0,0,0,4,1,1,NA,NA,NA,NA,NA,5,1,37,1,2,e
14,185,0.218673219,14,1,0.05,0.25,0,1,0,0,0,0,0,5,1,1,0,0,0,1,0,3,1,50,1,NA,g
15,235,0,15,1,0.35,0.35,0,1,0,0,0,0,0,5,0,1,0,1,0,0,0,5,1,24,1,0,e
16,177.5,0.001681732,16,1,0,0,0,1,0,0,0,0,0,NA,1,1,0,0,0,1,0,NA,1,41,1,3,e
17,100,0,17,0,0.05,0.05,0,1,0,0,0,0,0,5,1,0,0,0,1,1,0,5,1,37,1,1,e
18,177.5,0.010192735,18,0,0.225,0.225,0,1,0,0,0,0,0,4,1,1,0,0,0,0,1,4,1,36,1,0,d
19,135,0.034074074,19,0,0.05,0,1,1,0,0,0,0,0,5,1,0,0,0,0,1,1,6,1,35,1,0,e
20,155,0.015483871,20,0,0.05,0.05,0,1,0,0,0,0,0,4,1,1,0,0,0,1,1,3,1,32,1,0,e
21,190,0.048245614,21,1,0.175,0.275,0,1,0,0,0,0,0,NA,1,1,0,1,0,0,0,NA,1,43,1,1,e
22,155,0.263440861,22,1,0.575,0.65,0,1,0,0,0,0,0,6,0,1,NA,NA,NA,NA,NA,6,1,47,1,3,e
23,167.5,0.019189765,23,1,0.7,0.7,0,1,0,0,0,0,0,5,0,1,0,0,0,1,0,4,1,30,0,NA,
24,195,0.043269231,24,0,0.075,0.025,1,1,0,0,0,0,0,5,1,1,0,0,0,1,1,4,1,38,1,0,e
25,210,0,25,1,0.2,0.2,0,1,0,0,0,0,0,5,0,1,NA,NA,NA,NA,NA,5,1,32,1,0,e
26,190,0,26,0,0.05,0.05,0,1,0,0,0,0,0,5,1,1,NA,NA,NA,NA,NA,5,1,38,0,0,e
27,190,0,27,1,0.2,0.2,0,1,0,0,0,0,0,4,1,1,0,1,0,0,0,5,1,33,0,0,g
28,135,0.008994709,28,1,0.03,0.025,1,1,0,0,0,0,0,5,1,0,1,0,0,0,0,6,1,26,1,0,e
29,78,1,29,1,0.73,0.05,1,1,0,0,0,0,0,6,0,0,1,0,0,0,0,6,1,62,1,4,e
30,127,0.05001064,30,1,0.7,0.75,0,1,0,0,0,0,0,4.5,0,0,0,0,1,0,0,4.5,1,41,1,1,e
31,157,0.392268833,31,1,0.62,0,1,1,0,0,0,0,0,6,0,1,1,0,0,0,0,6,1,39,0,0,e
32,180,0.153594772,32,0,0.25,0.03,1,1,0,0,0,0,0,6,1,1,0,0,0,1,1,5,1,45,1,0,f
33,194.5,0.141388175,33,0,0.225,0.05,1,1,0,0,0,0,0,7,1,1,0,0,0,0,1,7,1,60,0,2,g
34,160,0.275201613,34,1,0.7,0.25,1,1,0,0,0,0,0,4,0,1,1,0,0,0,0,4,1,51,1,2,g
35,106,0.05148248,35,1,0.58,0.52,1,1,0,0,0,0,0,5,0,0,1,0,0,0,0,5,1,60,1,5,g
36,172.5,0.066389599,36,0,0.025,0.06,0,1,0,0,0,0,0,6,1,1,NA,NA,NA,NA,NA,4,1,51,0,0,e
37,100,0.214814815,37,0,0.35,0.2,1,1,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,1,1,53,0,0,g
38,120,0.05,38,0,0.05,0,1,1,0,0,0,0,0,5,0,0,0,0,0,1,1,5,1,56,0,2,e
39,185,0.002772003,39,1,0.05,0.05,0,1,0,0,0,0,0,4,1,1,1,0,0,0,0,4,1,31,1,0,d
40,120,0.029761904,40,0,0,0.05,0,1,0,0,0,0,0,5,1,0,0,0,0,1,0,4,1,36,1,2,g
41,192,0.00831117,41,1,0.7,0.7,0,1,0,0,0,0,0,4,0,1,1,0,0,0,0,5,1,40,0,0,d
42,167.5,0.466366797,42,1,0.8,0.025,1,1,0,0,0,0,0,5,0,1,1,0,0,0,0,5,1,30,1,0,e
43,275,0.012440192,43,1,0.35,0.4,0,1,0,0,0,0,0,3,1,1,1,0,0,0,0,2,1,43,1,2,e
44,100,0,44,1,0.05,0.05,0,1,0,0,0,0,0,7,1,0,NA,NA,NA,NA,NA,7,1,45,0,1,g
45,77,0,45,1,0.05,0.05,0,1,0,0,0,0,0,5,1,0,1,0,0,0,0,5,1,60,0,3,f
46,145,0.073414905,46,0,0.15,0.05,1,1,0,0,0,0,0,4,0,1,1,0,0,0,0,5,1,NA,0,NA,f
47,110,0.018181818,47,0,0.15,0.15,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,5,1,38,1,4,d
48,100,0,48,0,0.05,0.05,0,1,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,4,1,26,0,0,g
49,100,0.284210526,49,0,0.55,0.25,1,1,0,0,0,0,0,5,0,0,0,0,1,0,0,5,1,26,1,0,e
50,115,0.043478261,50,0,0,0.05,0,1,0,0,0,0,0,6,1,0,NA,NA,NA,NA,NA,3,1,62,1,4,e
51,180,0.027777778,51,0,0,0.05,0,1,0,0,0,0,0,3,1,1,NA,NA,NA,NA,NA,4,1,33,1,0,g
52,50,0,52,0,0.05,0.05,0,1,0,0,0,0,0,2,0,1,0,0,1,1,0,2,1,41,1,1,e
53,80,0,53,1,0.05,0.05,0,1,0,0,0,0,0,4,1,0,1,1,0,0,0,6,1,66,0,5,f
54,160,0,54,0,0.05,0.05,0,1,0,0,0,0,0,2,1,1,NA,NA,NA,NA,NA,2,1,21,1,0,c
55,100,0,55,0,0.05,0.05,0,1,0,0,0,0,0,4,0,0,0,1,1,0,1,6,1,60,1,3,e
56,100,0,56,0,0,0,0,1,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,4,1,24,1,0,d
57,240,0,57,1,0.05,0.05,0,1,0,0,0,0,0,6,1,1,1,1,0,0,0,6,1,56,1,3,e
58,95,0,58,0,0,0,0,1,0,0,0,0,0,5,1,0,1,0,0,0,0,5,1,40,1,2,e
59,265,0,59,0,0.05,0.05,0,1,0,0,0,1,0,7,1,1,NA,NA,NA,NA,NA,7,1,73,1,1,f
60,145,0.032327586,60,1,0.45,0.45,0,1,0,0,0,1,0,4,0,1,1,0,0,0,0,4,1,NA,1,4,e
61,70,0,61,0,0.05,0.05,0,1,0,0,0,1,0,5,0,0,0,0,0,1,1,5,1,50,0,2,e
62,192.5,0.012987013,62,0,0.025,0.05,0,1,0,0,0,1,0,5,1,1,0,0,1,1,0,6,1,23,0,0,d
63,155,0.024884792,63,0,0,0.05,0,1,0,0,0,1,0,6,1,1,0,0,1,1,1,6,1,28,1,0,e
64,205,0.002903601,64,0,0.2,0.2,0,1,0,0,0,1,0,5,1,1,1,0,0,0,0,4,1,45,1,0,f
65,150,0.075,65,0,0.25,0.15,1,1,0,0,0,1,0,5,0,1,1,0,0,0,0,5,1,42,0,0,e
66,102.5,0,66,0,0.9,0.9,0,1,0,0,0,1,0,7,0,0,0,1,1,0,1,6,1,45,0,1,g
67,135,0.04537037,67,0,0.125,0.125,0,1,0,0,0,1,0,2,0,0,0,0,0,1,1,3,1,31,0,0,e
68,175,0,68,0,0.45,0.45,0,1,0,0,0,1,0,6,0,1,1,0,0,0,0,6,1,45,0,2,e
69,210,0.025396826,69,0,0.05,0,1,1,0,0,0,1,0,3,1,1,0,0,0,1,0,4,1,21,0,0,d
70,100,0.025,70,1,0,0.025,0,1,0,0,0,1,0,2,1,0,1,0,1,0,1,4,1,35,1,0,e
71,130,0.013377927,71,1,0.25,0.2,1,1,0,0,0,1,0,4,0,0,1,0,0,0,0,4,1,40,1,4,e
72,100,0.1,72,1,0.05,0.05,0,1,0,0,0,1,0,6,1,0,1,1,0,0,0,5,1,50,1,0,e
73,100,0,73,0,0.05,0.05,0,1,0,0,0,1,0,5,0,0,NA,NA,NA,NA,NA,5,1,64,1,3,g
74,115,0.086956522,74,1,0.05,0.05,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,4.5,1,60,1,3,e
75,145,0.531034483,75,1,0.05,0.7,0,1,0,0,0,1,0,7,0,1,0,1,0,0,0,5,1,55,1,4,e
76,155,0.001008065,76,1,0,0,0,1,0,0,0,1,0,3,1,1,1,0,1,0,0,5,1,26,1,0,e
77,212.5,0.247606019,77,0,0.575,0.05,1,1,0,0,0,1,0,4,0,1,NA,NA,NA,NA,NA,4,1,24,1,0,e
78,130.5,0.146898182,78,0,0.225,0.07,1,1,0,0,0,1,0,3,0,0,NA,NA,NA,NA,NA,4,1,35,1,0,e
79,90,0,79,0,0.05,0.05,0,1,0,0,0,1,0,7,0,0,0,1,1,0,1,7,1,30,1,NA,e
80,65,0,80,1,0.05,0.05,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,4,1,30,0,0,e
81,90,0.564102564,81,1,0.7,0.65,1,1,0,0,0,1,0,5,0,0,1,1,0,0,0,6,1,52,1,1,e
82,215,0.037037037,82,1,0.05,0.05,0,1,0,0,0,1,0,NA,1,1,1,1,0,0,0,5,1,42,1,2,e
83,205,0.045028143,83,0,0.2,0.05,1,1,0,0,0,1,0,5,1,1,1,0,0,0,0,5,1,32,1,1,e
84,75,0,84,1,0.05,0.05,0,1,0,0,0,1,0,5,0,0,1,0,0,0,0,5,1,35,1,0,e
85,165,0.353187042,85,1,0.05,0.55,0,1,0,0,0,1,0,5,0,1,0,1,0,1,1,4,1,27,1,0,d
86,100,0,86,1,0.05,0.05,0,1,0,0,0,1,0,NA,1,0,1,0,0,0,0,1,1,NA,1,NA,d
87,210,0.099667774,87,1,0.55,0.35,1,1,0,0,0,1,0,4,0,1,1,0,0,0,0,4,1,47,0,2,c
88,100,0,88,0,0.05,0.05,0,1,0,0,0,1,0,4,0,0,NA,NA,NA,NA,NA,4,1,49,0,3,f
89,190,0.083820663,89,1,0.25,0.05,1,1,0,0,0,1,0,5,0,1,1,0,0,0,0,6,1,46,1,3,g
90,104,0.120304115,90,0,0.03,0.07,0,1,0,0,0,1,0,5,0,0,NA,NA,NA,NA,NA,4,1,39,0,0,f
91,130,0,91,1,0.05,0.05,0,1,0,0,0,1,0,NA,1,0,1,0,0,0,0,6,1,38,1,5,
92,100,0.05,92,0,0.05,0,1,1,0,0,0,1,0,6,1,0,NA,NA,NA,NA,NA,6,1,35,1,2,e
93,155,0,93,0,0.25,0.25,0,1,0,0,0,1,0,7,0,1,NA,NA,NA,NA,NA,7,1,26,1,0,e
94,110,0.022727273,94,0,0.25,0.2,1,1,0,0,0,1,0,6,0,0,NA,NA,NA,NA,NA,6,1,53,1,2,g
