"","pri2","pri23","pri34","pri4","pos2","pos23","pos34","pos4","format2","format3","cred","info","priconfi","posconfi","negotiator","education","male","age","children","vulnerable","emerging","exporter","developed","emiter","mba"
"1",0,0.15,0.75,0.1,0,0.25,0.75,0,0,0,5,5,6,6,1,"d",1,40,3,1,0,0,0,0,0
"2",0.172413793,0.24137931,0.275862069,0.310344828,0.181818182,0.236363636,0.272727273,0.309090909,0,0,4,5,5,4,1,"e",1,33,2,1,0,0,0,0,0
"3",0,0,1,0,0,0.391304348,0.391304348,0.217391304,0,0,5,5,6,6,1,"g",1,45,0,1,0,0,0,0,0
"4",0.051282051,0.128205128,0.384615385,0.435897436,0,0.288888889,0.311111111,0.4,0,0,6,5,4,6,1,"g",0,NA,NA,0,0,0,1,0,0
"5",0,1,0,0,0.210526316,0.789473684,0,0,0,0,6,5,4,5,1,"e",1,28,0,1,0,0,0,0,0
"6",0.017241379,0.224137931,0.344827586,0.413793103,0.027027027,0.27027027,0.351351351,0.351351351,0,0,5,4,6,6,1,"g",1,35,2,0,1,1,0,1,0
"7",0.185185185,0.407407407,0.296296296,0.111111111,0.192307692,0.461538462,0.230769231,0.115384615,0,0,4,2,5,4,1,"e",1,35,0,NA,NA,NA,NA,0,0
"8",0.015384615,0.4,0.4,0.184615385,0.090909091,0.590909091,0.181818182,0.136363636,0,0,4,4,5,4,0,"g",1,47,1,NA,NA,NA,NA,0,0
"9",0.291666667,0.375,0.208333333,0.125,0.125,0.5625,0.1875,0.125,0,0,6,5,4,4,0,"g",1,58,3,NA,NA,NA,NA,0,0
"10",0.047619048,0.380952381,0.428571429,0.142857143,0.045454545,0.454545455,0.454545455,0.045454545,0,0,5,5,3,5,0,"e",1,30,2,NA,NA,NA,NA,0,0
"11",0.033333333,0.266666667,0.5,0.2,0.034482759,0.379310345,0.448275862,0.137931034,0,0,6,6,6,6,0,"e",1,45,1,NA,NA,NA,NA,0,0
"12",0,1,0,0,0,0,1,0,0,0,4,4,5,4,1,"e",0,30,NA,0,0,1,0,0,0
"13",0.027777778,0.277777778,0.416666667,0.277777778,0.045454545,0.454545455,0.454545455,0.045454545,0,0,5,5,4,5,0,"e",1,37,2,NA,NA,NA,NA,0,0
"14",0.054054054,0.27027027,0.405405405,0.27027027,0.272727273,0.227272727,0.227272727,0.272727273,0,0,5,5,5,3,1,"g",1,50,NA,0,0,0,1,0,0
"15",0.170212766,0.382978723,0.319148936,0.127659574,0.170212766,0.382978723,0.319148936,0.127659574,0,0,5,5,5,5,1,"e",1,24,0,0,1,0,0,0,0
"16",0.028169014,0.169014085,0.338028169,0.464788732,0.029850746,0.164179104,0.328358209,0.47761194,0,0,NA,NA,NA,NA,1,"e",1,41,3,0,0,0,1,0,0
